baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene
15758.2446,1.311645101,0.405528938,3.234405683,0.001218962,0.010929335,IGFBP3
5976.530344,-0.040190817,0.282608276,-0.142213871,0.886911075,0.962377883,PDIA4
7403.077456,0.383834625,0.283632516,1.35328146,0.17596573,0.383069428,TMSB4X
3682.714052,-0.376927659,0.3646223,-1.033748236,0.301253877,0.557480755,SLC25A6
5430.990419,0.067496971,0.201828261,0.334427748,0.738056804,0.876701457,UBA1
3642.963502,-0.546281442,0.204094628,-2.676608629,0.007437145,0.041853722,RBM3
8507.465609,-0.192801816,0.298742083,-0.645378831,0.518681718,0.738262327,RPS4X
7956.741682,-0.057645071,0.289515533,-0.199108732,0.842177691,0.933987418,PLS3
56963.90603,0.687384102,0.474691634,1.448064497,0.147599014,0.335106773,TIMP1
5979.782148,0.175719332,0.303234432,0.579483442,0.562263016,0.762731013,MAGED1
4136.332365,-0.331561585,0.167200636,-1.983016289,0.04736561,0.159594954,MORF4L2
4075.036212,-0.015782645,0.252672827,-0.062462772,0.950194308,0.968502484,DDX3X
30664.80897,-0.058335383,0.173301707,-0.336611707,0.73640963,0.876701457,FLNA
3737.895439,-0.506467392,0.208490509,-2.429210776,0.015131733,0.071510344,RPL10
13638.81231,-0.375392835,0.237500232,-1.580599868,0.113969556,0.287360633,MSN
3721.020171,0.332488548,0.159864537,2.079814283,0.037542571,0.137916804,LAMP2
6519.521902,-0.585368902,0.349439715,-1.675164203,0.093902019,0.2521847,BGN
8081.024247,0.472065519,0.193779136,2.436100858,0.014846544,0.071510344,PGK1
5723.700662,0.243569802,0.399230244,0.610098571,0.541796513,0.75214876,CD99
4120.918497,-0.034461032,0.182023768,-0.189321608,0.849840761,0.935643303,HUWE1
5010.387731,1.813670425,0.482495175,3.758940027,0.000170635,0.002579022,CLU
12851.81355,1.030665851,0.66292341,1.554728398,0.120010768,0.292560813,LOXL2
8886.731547,0.151018665,0.146444785,1.031232795,0.302431665,0.557480755,ASPH
11631.83609,1.332396978,0.610153384,2.183708251,0.028983693,0.116154346,SULF1
3611.927834,0.174228648,0.240374543,0.724821547,0.468561516,0.710226481,BPNT2
7378.869163,-0.267122969,0.103776547,-2.574020604,0.010052429,0.0542626,YWHAZ
5023.216534,0.122721339,0.208391207,0.588898833,0.555929141,0.759913477,TRAM1
3690.934544,-0.460580515,0.130524927,-3.528678595,0.00041764,0.004909591,RPL7
5398.712529,-0.310307523,0.68236273,-0.454754501,0.649285866,0.837091673,SFRP1
4633.003799,-0.895638428,0.447493606,-2.001455252,0.045343352,0.153760468,HAS2
14707.50331,-0.039450951,0.266324193,-0.148131306,0.882239143,0.960297339,PABPC1
3699.017667,-0.303849623,0.19720796,-1.54075739,0.123375843,0.299384501,RPS20
15799.03304,0.456385244,0.248701855,1.835069722,0.06649536,0.201582006,CTSB
46431.07049,1.236717079,0.37780986,3.273384869,0.001062677,0.010221018,PLAT
13390.29411,0.038061961,0.424817764,0.089595973,0.928608284,0.963863423,ADAM9
17705.25476,0.209919486,0.509311975,0.412162871,0.680220049,0.860852646,PLEC
9850.083889,-0.345449259,0.139025842,-2.484784516,0.012962987,0.065936734,RPL8
4281.736254,0.39562179,0.136457886,2.899222617,0.003740892,0.024133314,EXT1
10340.09783,-0.38856664,0.137345517,-2.829117753,0.004667652,0.02904927,RPS6
3860.222226,0.878129345,1.072257707,0.818953634,0.412812868,0.667822651,COL15A1
5467.700313,0.68153746,0.273668344,2.490377409,0.012760751,0.065538226,PALM2AKAP2
12140.61271,0.085716283,0.251707924,0.340538674,0.733450904,0.876701457,ANXA1
5473.924371,-1.113505291,0.698218237,-1.594781161,0.110761181,0.282705261,PTGS1
3578.227752,-0.370573686,0.123255815,-3.006541195,0.002642382,0.01968761,RPL35
23875.61643,0.731401757,0.414242744,1.765635648,0.077456995,0.223905741,COL5A1
9111.640939,0.395880244,1.11559989,0.354858626,0.722695506,0.876701457,PAPPA
5848.368956,-0.482899485,0.16296617,-2.963188524,0.0030447,0.021192717,RPL12
10780.1313,0.017263282,0.13028157,0.132507479,0.894582908,0.962377883,NIBAN2
3990.896651,0.856051202,0.230971723,3.706303055,0.000210307,0.00292769,CERCAM
5920.518738,-0.546279023,0.108146852,-5.051270701,4.39E-07,1.55E-05,HNRNPK
